date;event
2025-09-18;Stadtfest
2025-09-19;Stadtfest
2025-09-20;Stadtfest
2025-09-21;Stadtfest
2025-09-22;Stadtfest
2025-09-23;Stadtfest
2025-09-24;Stadtfest
2025-09-25;Stadtfest
2025-03-15;WeinAachen
2025-03-16;WeinAachen
2025-03-22;EUREGIO Wirtschaftsschau
2025-03-23;EUREGIO Wirtschaftsschau
2025-03-24;EUREGIO Wirtschaftsschau
2025-03-25;EUREGIO Wirtschaftsschau
2025-03-26;EUREGIO Wirtschaftsschau
2025-03-27;EUREGIO Wirtschaftsschau
2025-03-28;EUREGIO Wirtschaftsschau
2025-03-29;EUREGIO Wirtschaftsschau
2025-03-30;EUREGIO Wirtschaftsschau
2025-04-30;Karrieretag Aachen
2025-11-25;Karrieretag Aachen
2025-05-08;vocatium Aachen
2025-05-09;vocatium Aachen
2025-06-27;CHIO Aachen
2025-06-28;CHIO Aachen
2025-06-29;CHIO Aachen
2025-06-30;CHIO Aachen
2025-07-01;CHIO Aachen
2025-07-02;CHIO Aachen
2025-07-03;CHIO Aachen
2025-07-04;CHIO Aachen
2025-07-05;CHIO Aachen
2025-07-06;CHIO Aachen
2026-05-22;CHIO Aachen
2026-05-23;CHIO Aachen
2026-05-24;CHIO Aachen
2026-03-25;vocatium Aachen
2026-03-26;vocatium Aachen
2026-03-14;WeinAachen
2026-03-15;WeinAachen
2026-03-07;EUREGIO Wirtschaftsschau 2026
2026-03-08;EUREGIO Wirtschaftsschau 2026
2026-03-09;EUREGIO Wirtschaftsschau 2026
2026-03-10;EUREGIO Wirtschaftsschau 2026
2026-03-11;EUREGIO Wirtschaftsschau 2026
2026-03-12;EUREGIO Wirtschaftsschau 2026
2026-03-13;EUREGIO Wirtschaftsschau 2026
2026-03-14;EUREGIO Wirtschaftsschau 2026
2026-03-15;EUREGIO Wirtschaftsschau 2026